date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:46:56	67657/67657	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202023%2006:49:18%20GMT	https://smarthr.dreamguystech.com/html/template/form-mask.html	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/form-mask.html	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
22:46:56	76113/76113	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202023%2006:49:18%20GMT	https://smarthr.dreamguystech.com/html/template/form-validation.html	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/form-validation.html	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
22:46:56	72582/72582	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202023%2006:49:18%20GMT	https://smarthr.dreamguystech.com/html/template/tables-basic.html	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/tables-basic.html	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
22:46:57	69456/69456	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202023%2006:49:18%20GMT	https://smarthr.dreamguystech.com/html/template/data-tables.html	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/data-tables.html	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
22:46:57	69534/69534	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202023%2006:49:18%20GMT	https://smarthr.dreamguystech.com/html/template/calender.html	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/calender.html	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
22:46:57	69134/69134	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202023%2006:49:18%20GMT	https://smarthr.dreamguystech.com/html/template/job-applicants.html	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/job-applicants.html	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
22:46:57	1112/1112	---M--	200	added ('OK')	image/jpeg	etag:%22458-5f936bca47d00%22	https://smarthr.dreamguystech.com/html/template/assets/img/user.jpg	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/assets/img/user.jpg	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
22:46:57	69572/69572	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202023%2006:49:18%20GMT	https://smarthr.dreamguystech.com/html/template/invoice-view.html	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/invoice-view.html	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
22:46:58	32184/32184	---M--	200	added ('OK')	image/jpeg	etag:%227db8-602a01c97d780%22	https://smarthr.dreamguystech.com/html/template/assets/img/profiles/avatar-19.jpg	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/assets/img/profiles/avatar-19.jpg	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
22:46:58	39750/39750	---M--	200	added ('OK')	image/jpeg	etag:%229b46-602a01c97d780%22	https://smarthr.dreamguystech.com/html/template/assets/img/profiles/avatar-07.jpg	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/assets/img/profiles/avatar-07.jpg	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
22:46:58	33590/33590	---M--	200	added ('OK')	image/jpeg	etag:%228336-602a01c97d780%22	https://smarthr.dreamguystech.com/html/template/assets/img/profiles/avatar-14.jpg	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/assets/img/profiles/avatar-14.jpg	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
22:46:59	86685/86685	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202023%2006:49:18%20GMT	https://smarthr.dreamguystech.com/html/template/project-view.html	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/project-view.html	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
22:46:59	386/386	---M--	200	added ('OK')	image/png	etag:%22182-5f936bca47d00%22	https://smarthr.dreamguystech.com/html/template/assets/img/close.png	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/assets/img/close.png	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
22:47:00	511/511	---M--	200	added ('OK')	image/png	etag:%221ff-5f936bca47d00%22	https://smarthr.dreamguystech.com/html/template/assets/img/vertical.png	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/assets/img/vertical.png	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
22:47:00	485/485	---M--	200	added ('OK')	image/png	etag:%221e5-5f936bca47d00%22	https://smarthr.dreamguystech.com/html/template/assets/img/horizontal.png	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/assets/img/horizontal.png	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
22:47:01	679/679	---M--	200	added ('OK')	image/png	etag:%222a7-5f936bca47d00%22	https://smarthr.dreamguystech.com/html/template/assets/img/two-col.png	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/assets/img/two-col.png	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
22:47:01	555/555	---M--	200	added ('OK')	image/png	etag:%2222b-5f936bca47d00%22	https://smarthr.dreamguystech.com/html/template/assets/img/boxed.png	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/assets/img/boxed.png	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
